status,dir,orig_entry_time,orig_exit_time,orig_dir,t_stop_ns,stop_confirmed,entry_ts_ns,entry_ref_px,entry_fill_px,sl,tp,risk_pips,exit_type,exit_ts_ns,exit_px,net_pips,r,be_moved
TRADE,-1,2014-02-17 10:15:00,2014-02-17 14:15:00,1,1392640220170000000,False,1392640226775000000,1.37023,1.37023,1.3704399999999999,1.3697050000000006,2.1,TARGET,1392641520348000000,1.3697050000000006,5.25,2.5,True
TRADE,-1,2014-02-19 15:30:00,2014-02-19 20:00:00,1,1392833704272000000,False,1392833717957000000,1.37493,1.37493,1.37524,1.374155,3.1,STOP,1392836516047000000,1.37486,0.7,0.22581,True
TRADE,-1,2014-02-26 10:15:00,2014-02-26 13:15:00,1,1393414200927000000,False,1393414206016000000,1.37377,1.37377,1.37435,1.3723199999999998,5.8,TARGET,1393417261986000000,1.3723199999999998,14.5,2.5,True
TRADE,1,2014-03-05 10:30:00,2014-03-05 14:15:00,-1,1394022611653000000,False,1394022620595000000,1.37272,1.37272,1.37223,1.3739449999999995,4.9,TARGET,1394025303164000000,1.3739449999999995,12.25,2.5,True
TRADE,1,2014-03-06 09:15:00,2014-03-06 11:45:00,-1,1394100000561000000,False,1394100008809000000,1.37347,1.37347,1.37288,1.3749449999999996,5.9,TARGET,1394107154054000000,1.3749449999999996,14.75,2.5,True
TRADE,1,2014-03-11 11:00:00,2014-03-11 15:30:00,-1,1394545500879000000,False,1394545519584000000,1.38548,1.38548,1.38508,1.38648,4.0,TARGET,1394547982943000000,1.38648,10.0,2.5,True
TRADE,-1,2014-03-19 11:45:00,2014-03-19 15:00:00,1,1395234900162000000,False,1395234905282000000,1.39126,1.39126,1.39226,1.3887599999999996,10.0,STOP,1395251667262000000,1.39226,-10.0,-1.0,False
TRADE,1,2014-03-24 15:15:00,2014-03-24 16:45:00,-1,1395673200091000000,False,1395673205736000000,1.37784,1.37784,1.37703,1.379865,8.1,TARGET,1395681947599000000,1.379865,20.25,2.5,True
TRADE,1,2014-03-25 16:30:00,2014-03-25 17:30:00,-1,1395762301521000000,False,1395762326869000000,1.37871,1.37871,1.3747,1.3887350000000003,40.1,STOP,1395914654979000000,1.37457,-41.4,-1.03242,False
INVALID_LEVELS,,2014-04-02 15:30:00,2014-04-03 14:30:00,-1,1396525500018000000,,,,,,,,,,,,,
INVALID_LEVELS,,2014-04-02 16:15:00,2014-04-03 14:30:00,-1,1396525500018000000,,,,,,,,,,,,,
TRADE,1,2014-05-20 16:45:00,2014-05-21 02:30:00,-1,1400629502045000000,False,1400629509636000000,1.37021,1.37021,1.36988,1.3710349999999998,3.3,STOP,1400634474340000000,1.37031,1.0,0.30303,True
TRADE,1,2014-05-22 09:15:00,2014-05-22 09:30:00,-1,1400741110220000000,False,1400741115509000000,1.36712,1.36712,1.3654,1.3714199999999996,17.2,STOP,1400763992088000000,1.36538,-17.4,-1.01163,False
TRADE,1,2014-05-29 15:00:00,2014-05-30 15:00:00,-1,1401452100092000000,False,1401452106698000000,1.36082,1.36082,1.36035,1.3619949999999998,4.7,TARGET,1401453868972000000,1.3619949999999998,11.75,2.5,True
TRADE,1,2014-06-11 16:15:00,2014-06-12 16:30:00,-1,1402580700029000000,False,1402580707327000000,1.35397,1.35397,1.3533,1.3556449999999998,6.7,TARGET,1402586784909000000,1.3556449999999998,16.75,2.5,True
TRADE,-1,2014-06-17 11:00:00,2014-06-17 14:30:00,1,1403005500174000000,False,1403005505415000000,1.35695,1.35695,1.35734,1.3559750000000004,3.9,TARGET,1403008214333000000,1.3559750000000004,9.75,2.5,True
TRADE,1,2014-08-27 15:45:00,2014-08-27 16:15:00,-1,1409146201100000000,False,1409146217022000000,1.3181,1.3181,1.31659,1.3218750000000004,15.1,TARGET,1409209786672000000,1.3218750000000004,37.75,2.5,True
TRADE,-1,2014-08-28 10:15:00,2014-08-28 11:45:00,1,1409216400201000000,False,1409216405299000000,1.32073,1.32073,1.32145,1.31893,7.2,STOP,1409217109869000000,1.32145,-7.2,-1.0,False
SKIP_DAILY,,2014-09-10 08:45:00,2014-09-10 14:30:00,1,1410349502389000000,,,,,,,,,,,,,
SKIP_DAILY,,2014-09-10 10:15:00,2014-09-10 14:30:00,1,1410349502389000000,,,,,,,,,,,,,
TRADE,-1,2014-09-17 16:00:00,2014-09-17 17:15:00,1,1410964200314000000,False,1410964206552000000,1.29641,1.29641,1.29668,1.295735,2.7,STOP,1410964514591000000,1.2967,-2.9,-1.07407,False
TRADE,-1,2014-10-02 11:45:00,2014-10-02 14:30:00,1,1412250300282000000,False,1412250305467000000,1.26369,1.26369,1.26572,1.258615,20.3,STOP,1412254744395000000,1.26572,-20.3,-1.0,False
