entry_i,year,stop_pips,pip_eur_at_minlot,risk_eur_minlot,risk_pct_minlot,lot_for_05,lot_05_rounded,lot_for_1,lot_1_rounded,r_multiple
10730,2021,9.57672526944428,0.10641588087523211,1.0191156554480076,0.20382313108960154,0.024531072470876616,0.02,0.04906214494175323,0.04,-1.0939778446888972
10753,2021,8.536969871495229,0.10644409797131928,0.9087100573796391,0.18174201147592783,0.027511525592761817,0.02,0.055023051185523635,0.05,1.998787238647853
10802,2021,9.18060653656497,0.10513586198832513,0.9652109817974102,0.19304219635948203,0.02590107289646161,0.02,0.05180214579292322,0.05,1.6232828469963445
10856,2021,11.484456543267509,0.10369639204266304,1.1908967081075943,0.23817934162151885,0.02099258468832825,0.02,0.0419851693766565,0.04,-1.0783667905058805
10932,2021,10.58137919706419,0.1042744798454141,1.103367811820954,0.22067356236419078,0.022657902226403546,0.02,0.04531580445280709,0.04,2.0039131422500196
10993,2021,8.88760927070433,0.10333494268905458,0.918400594630942,0.1836801189261884,0.027221236730629747,0.02,0.054442473461259494,0.05,-0.17213539262861657
11017,2021,9.720962111504319,0.10300266092358076,1.001284964222255,0.200256992844451,0.024967917119796835,0.02,0.04993583423959367,0.04,7.954573837371595
11077,2021,12.09656781166035,0.10178974467484833,1.2313065489908959,0.24626130979817917,0.020303636020200234,0.02,0.04060727204040047,0.04,-2.1163027727024484
11112,2021,11.950870264072979,0.10178604357103344,1.2164318014107,0.24328636028214,0.020551912545370334,0.02,0.04110382509074067,0.04,1.2137474487651274
11184,2021,10.09778250791946,0.10148749803702606,1.0247986824507922,0.20495973649015845,0.024395035267036878,0.02,0.048790070534073755,0.04,-1.0891284793759923
11283,2021,10.91263780644607,0.10182161355456062,1.1111423895888397,0.22222847791776795,0.022499366628655797,0.02,0.044998733257311595,0.04,0.5864986762154549
11364,2021,12.08030483253726,0.10228494151533245,1.2356332732834616,0.2471266546566923,0.020232540301838287,0.02,0.040465080603676574,0.04,-1.07450143125327
11377,2021,11.63015937054524,0.10123779072313958,1.1774116404320198,0.23548232808640399,0.021233015830238365,0.02,0.04246603166047673,0.04,-0.049276488069823016
11439,2021,10.54052779647691,0.1014702530202872,1.0695500224758823,0.21391000449517644,0.02337431581005248,0.02,0.04674863162010496,0.04,-1.0853847186191423
11450,2021,11.88997321523361,0.10161611029843295,1.208212829684592,0.2416425659369184,0.02069171869870504,0.02,0.04138343739741008,0.04,-1.075694030903922
11557,2021,11.50969591200955,0.1018555410599062,1.1723263045527232,0.23446526091054465,0.02132512074745114,0.02,0.04265024149490228,0.04,6.158368069512805
11642,2021,9.926453601056249,0.09969338320966457,0.9896017427630555,0.1979203485526111,0.025262687927567497,0.02,0.050525375855134995,0.05,-1.601780518906296
