entry_i,entry,stop,atr_entry,d,sig_i,exit_i,exit,reason,gross_pips,net_pips,year
8893,109.971,109.88257817995517,0.08842182004483569,2021-06-03,8892,8915,110.09392738346246,stop,12.292738346245358,11.392738346245357,2021
8991,109.604,109.49904085274748,0.10495914725252065,2021-06-09,8990,9006,109.49904085274748,stop,-10.49591472525151,-11.39591472525151,2021
9039,109.771,109.66878236636666,0.10221763363334893,2021-06-11,9038,9043,109.66878236636666,stop,-10.221763363334446,-11.121763363334447,2021
9062,109.921,109.83401742311896,0.08698257688104784,2021-06-14,9061,9103,109.96399721093792,stop,4.29972109379122,3.3997210937912197,2021
9115,110.514,110.40229893474174,0.1117010652582553,2021-06-16,9114,9132,110.46954681018362,stop,-4.4453189816380245,-5.345318981638025,2021
9193,110.269,110.15912040651739,0.10987959348261733,2021-06-22,9192,9227,110.75967913490506,stop,49.06791349050508,48.16791349050508,2021
9241,111.028,110.929578724893,0.0984212751070068,2021-06-24,9240,9245,110.929578724893,stop,-9.842127510700038,-10.742127510700039,2021
9327,110.981,110.8716050670913,0.10939493290870153,2021-06-30,9326,9368,111.41375339369084,stop,43.27533936908452,42.37533936908452,2021
9512,110.057,109.95936631589126,0.09763368410874183,2021-07-12,9511,9558,110.43767742325475,stop,38.06774232547525,37.16774232547525,2021
9649,109.967,109.851014341352,0.11598565864799447,2021-07-21,9648,9654,109.851014341352,stop,-11.598565864800037,-12.498565864800037,2021
9680,110.346,110.26187265923907,0.08412734076093635,2021-07-23,9679,9697,110.36246239382281,stop,1.646239382280612,0.7462393822806119,2021
9879,109.572,109.41945554432996,0.1525444556700335,2021-08-04,9878,9899,109.43770055775965,stop,-13.429944224034784,-14.329944224034785,2021
9913,109.872,109.78350949262766,0.08849050737233721,2021-08-06,9912,9918,109.78350949262766,stop,-8.849050737234165,-9.749050737234166,2021
9961,110.334,110.25139257777253,0.08260742222747432,2021-08-10,9960,9996,110.56464037077866,stop,23.064037077865862,22.164037077865864,2021
