mode,entry_time,exit_time,dir,level,lot,entry,sl0,tp,sl_dist,exit,reason,pnl,r_mult,balance_after,be_moved
historical,2015-02-18 15:15:00,2015-02-18 21:00:00,-1,0,0.4,1.13716,1.1389,1.1328099999999997,0.0017400000000000748,1.13706,sl,3.99999999999956,0.0574712643678073,7038.5600000000495,True
historical,2015-02-24 16:15:00,2015-02-24 17:15:00,-1,0,0.29,1.13176,1.13416,1.12576,0.0023999999999999577,1.13416,sl,-69.59999999999876,-1.0,6968.960000000051,False
historical,2015-02-25 10:45:00,2015-02-25 12:30:00,1,0,0.41,1.13716,1.13548,1.1413599999999997,0.0016799999999999038,1.13548,sl,-68.87999999999604,-1.0,6900.0800000000545,False
historical,2015-03-02 15:45:00,2015-03-03 11:30:00,-1,0,0.38,1.12167,1.12345,1.1172199999999997,0.0017800000000001148,1.1172199999999997,tp,169.1000000000109,2.5,7069.180000000066,True
historical,2015-03-18 10:45:00,2015-03-18 14:45:00,1,0,0.36,1.06094,1.05901,1.0657649999999999,0.0019299999999999873,1.05901,sl,-69.47999999999954,-1.0,6999.700000000066,False
historical,2015-03-18 16:00:00,2015-03-18 20:00:00,1,0,0.29,1.06112,1.05871,1.067145,0.0024100000000000232,1.067145,tp,174.72499999999846,2.4999999999999543,7174.425000000065,True
historical,2015-04-07 08:00:00,2015-04-07 11:15:00,-1,0,0.32,1.09238,1.09462,1.0867799999999999,0.0022400000000000198,1.0867799999999999,tp,179.20000000000158,2.5,7353.625000000066,False
historical,2015-04-07 11:00:00,2015-04-07 11:15:00,-1,0,0.36,1.09217,1.09421,1.0870700000000006,0.0020399999999998197,1.0870700000000006,tp,183.59999999997976,2.499999999999945,7537.225000000046,False
historical,2015-04-15 09:30:00,2015-04-15 10:15:00,1,0,0.35,1.06459,1.06244,1.0699649999999996,0.0021499999999998742,1.06244,sl,-75.2499999999956,-1.0,7461.97500000005,False
historical,2015-04-21 08:30:00,2015-04-21 09:45:00,-1,0,0.44,1.07223,1.0739,1.0680549999999998,0.0016700000000000603,1.0680549999999998,tp,183.70000000001153,2.5000000000000666,7645.675000000062,True
historical,2015-04-23 08:00:00,2015-04-23 11:15:00,-1,0,0.22,1.07024,1.07196,1.0659400000000003,0.0017199999999999438,1.07196,sl,-37.83999999999876,-1.0,7607.835000000064,False
historical,2015-04-28 11:45:00,2015-04-28 13:45:00,1,0,0.37,1.08816,1.0861100000000001,1.0932849999999998,0.0020499999999998852,1.0932849999999998,tp,189.6249999999935,2.500000000000054,7797.460000000057,True
historical,2015-06-16 09:45:00,2015-06-16 09:45:00,1,0,0.36,1.12782,1.12566,1.13322,0.0021599999999999397,1.12792,sl,3.5999999999996035,0.04629629629629249,7801.060000000057,True
historical,2015-06-17 10:00:00,2015-06-17 11:45:00,1,0,0.4,1.12586,1.12391,1.1307350000000005,0.0019500000000001183,1.12596,sl,3.99999999999956,0.05128205128204253,7805.060000000057,True
historical,2015-07-29 16:30:00,2015-07-29 21:00:00,-1,0,0.32,1.10352,1.10594,1.0974700000000004,0.0024199999999998667,1.10594,sl,-77.43999999999573,-1.0,7727.620000000061,False
historical,2015-08-17 14:00:00,2015-08-17 15:00:00,-1,0,0.44,1.10862,1.1103399999999999,1.10432,0.0017199999999999438,1.1103399999999999,sl,-75.67999999999752,-1.0,7651.940000000063,False
historical,2015-08-18 10:30:00,2015-08-18 10:45:00,-1,0,0.45,1.10653,1.10821,1.1023300000000003,0.0016799999999999038,1.10821,sl,-75.59999999999567,-1.0,7576.340000000067,False
historical,2015-08-18 11:45:00,2015-08-18 18:30:00,-1,0,0.33,1.10731,1.10955,1.10171,0.0022400000000000198,1.10171,tp,184.80000000000163,2.5,7761.140000000069,True
historical,2015-09-03 09:30:00,2015-09-03 10:00:00,-1,0,0.25,1.12218,1.1237,1.1183800000000002,0.0015199999999999658,1.1237,sl,-37.99999999999915,-1.0,7723.14000000007,False
